task,metric,n_paired,delta,delta_lo,delta_hi,delta_se,p_boot,family,model_s,k_hi,k_lo,model_hi,model_lo,sig,q_cot,gain,gain_lo,gain_hi,ceiling_bm25,ceiling_recency,resolved,n_boot,seed
LaMP-2,macro_f1,99,0.033571179745007396,-0.016835408462730423,0.08153027929239148,0.025762956046068902,0.215,signal_step,opus,8.0,4.0,opus,opus,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,-0.03350316350316351,-0.09402676056812688,0.04200587883297149,0.03452677473285823,0.413,signal_step,opus,16.0,8.0,opus,opus,,,,,,,,0,2000,12345
LaMP-2,macro_f1,99,0.02245471402082444,-0.059148852432557096,0.09178149298348012,0.03820120274334678,0.658,signal_step,opus,32.0,16.0,opus,opus,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.18181818181818182,-0.30303030303030304,-0.06060606060606061,0.06262751038662734,0.003,signal_step,haiku,1.0,0.0,haiku,haiku,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.010101010101010055,-0.07070707070707072,0.06060606060606061,0.0336968003503106,0.896,signal_step,haiku,2.0,1.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.060606060606060635,-0.1313131313131313,0.010101010101010055,0.03472647452430159,0.091,signal_step,haiku,4.0,2.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.06060606060606061,-0.12121212121212122,0.0,0.03115292178936935,0.051,signal_step,haiku,8.0,4.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-3,mae,99,0.0505050505050505,-0.010101010101010097,0.12121212121212122,0.033051308077421314,0.148,signal_step,haiku,16.0,8.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.0505050505050505,-0.12121212121212122,0.0,0.03275455170580733,0.094,signal_step,haiku,32.0,16.0,haiku,haiku,,,,,,,,0,2000,12345
LaMP-3,mae,98,-0.051020408163265335,-0.1326530612244898,0.040816326530612235,0.044308348430642845,0.311,signal_step,sonnet,1.0,0.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-3,mae,97,-0.030927835051546393,-0.09278350515463918,0.04123711340206185,0.03420838999985629,0.448,signal_step,sonnet,2.0,1.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-3,mae,97,-0.041237113402061876,-0.1134020618556701,0.020618556701030938,0.035481640358842145,0.287,signal_step,sonnet,4.0,2.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-3,mae,99,-0.030303030303030304,-0.08080808080808081,0.020202020202020207,0.026091609315681406,0.328,signal_step,sonnet,8.0,4.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-3,mae,99,0.01010101010101011,-0.020202020202020207,0.040404040404040414,0.01678161794802809,0.743,signal_step,sonnet,16.0,8.0,sonnet,sonnet,,,,,,,,0,2000,12345
LaMP-3,mae,98,0.0,0.0,0.0,0.0,1.0,signal_step,sonnet,32.0,16.0,sonnet,sonnet,,,,,,,,1,2000,12345
LaMP-3,mae,99,-0.0505050505050505,-0.12121212121212122,0.02020202020202022,0.03675748954142534,0.213,signal_step,opus,1.0,0.0,opus,opus,,,,,,,,0,2000,12345
